rank,table_file,hit_rate,avg_reward_per_episode,avg_reward_per_step,avg_hits_per_episode,avg_first_hit,hit_reward,alpha,gamma,epsilon
1,004_hr10_a0p1_g0p95_e0p1.npy,0.8800,26.633404,0.041994,2.590000,165.784091,10,0.1,0.95,0.1
2,017_hr20_a0p1_g0p9_e0p05.npy,0.8600,38.832060,0.062464,2.530000,166.581395,20,0.1,0.9,0.05
3,002_hr10_a0p1_g0p9_e0p1.npy,0.8400,-17.397481,-0.029599,2.390000,166.809524,10,0.1,0.9,0.1
4,006_hr10_a0p2_g0p9_e0p1.npy,0.7900,-10.206335,-0.018098,2.150000,159.278481,10,0.2,0.9,0.1
5,023_hr20_a0p2_g0p95_e0p05.npy,0.7200,42.147188,0.079282,2.060000,175.944444,20,0.2,0.95,0.05
